bioguide_id,twitter_id
R000600,3026622545
Y000064,234128524
E000295,2856787757
T000476,2964174789
Y000062,384913290
Y000033,37007274
W000809,234469322
W000808,234014087
W000806,281540744
W000805,7429102
W000804,15356407
W000802,242555999
W000800,1410590874
W000798,237862972
W000797,1140648348
W000795,254082173
W000779,250188760
W000437,264219447
W000187,36686040
V000128,18137749
V000081,164369297
U000031,124224165
T000469,84119348
T000468,122174004
T000467,18967498
T000464,515822213
T000463,51228911
T000461,221162525
T000460,303861808
T000250,296361085
T000193,82453460
S001189,234797704
S001185,381152398
S001184,217543151
S001183,229197216
S001181,109287731
S001180,20545793
S001177,926446070812602371
S001176,1209417007
S001175,24913074
S001172,296245061
S001165,18696134
S001157,168673083
S001156,312134473
S001150,29501253
S001148,76132891
S001145,24195214
S001217,131546062
S000770,76456274
S000510,58928690
S000344,30216513
S000320,21111098
S000185,161791703
S000148,17494010
S000033,29442313
R000595,229966028
R000585,252819323
R000577,13491312
R000576,305620929
R000575,33977070
R000515,305216911
R000486,479872233
R000395,550401754
R000122,486694111
Q000023,56864092
P000603,216881337
P000601,299883942
P000599,25086658
P000597,14984637
P000595,236511574
P000593,20552026
P000523,155669457
P000449,18915145
P000197,15764644
P000096,74508260
P000034,31801993
N000179,161411080
N000147,23600262
N000015,442824717
N000002,40302336
M001183,234374703
M001180,240427862
M001177,50152441
M001176,29201047
M001166,385429543
M001165,19739126
M001163,38254095
M001160,22669526
M001159,17976923
M001157,26424123
M001156,27676828
M001153,18061669
M001143,516880804
M001137,22812754
M001111,293131808
M000934,18632666
M000639,18695134
M000355,339822881
M000312,242426145
M000133,21406834
M000087,258900199
L000577,88784440
L000576,1444015610
L000575,225921757
L000570,19318314
L000569,1849261916
L000566,15394954
L000564,584012853
L000562,310310133
L000560,404132211
L000559,18909919
L000557,50452197
L000551,248735463
L000491,242772524
L000397,267938462
L000174,242836537
K000378,219429281
K000376,935368364
K000375,232992031
K000188,112740986
K000009,581141508
J000293,233737858
J000292,211530910
J000289,18166778
J000288,24745957
J000126,168502762
J000032,80612021
I000024,20546536
H001061,382791093
H001058,233949261
H001056,242926427
H001053,237763317
H001047,31611298
H001046,1099199839
H001042,92186819
H001038,33576489
H000874,22012091
G000568,234057152
G000565,240760644
G000563,234822928
G000559,88806753
G000553,156333623
G000552,22055226
G000551,28602948
G000386,10615232
G000377,161743731
G000359,14845376
F000459,235190657
F000450,16256269
F000449,18805303
F000062,476256944
E000215,249348006
D000616,235312723
D000615,240393970
D000610,137794015
D000600,37094727
D000563,247334603
D000482,39249305
D000399,153944899
D000216,140519774
D000197,28599820
D000191,252249233
C001088,435500714
C001087,233693291
C001084,462143773
C001080,193732179
C001078,78445977
C001072,199325935
C001070,171598736
C001069,85396297
C001068,162069635
C001067,240812994
C001063,210926192
C001061,163570705
C001059,245451804
C001056,13218102
C001053,23124635
C001051,18030431
C001047,193794406
C001035,19726613
C000880,600463589
C000754,22523087
C000537,188019606
C000266,237750442
C000174,249787913
C000141,109071031
C000127,117501995
C000059,22545491
B001277,278124059
B001275,234812598
B001274,237299871
B001270,239949176
B001267,224285242
B001261,202206694
B001260,20467163
B001257,26051676
B001251,432676344
B001248,15751083
B001243,278145569
B001236,5558312
B001135,21157904
B000944,43910797
B000755,19926675
B000575,21269970
B000574,137823987
B000490,249410485
A000055,76452765
D000617,995193054
B001278,558769636
K000383,1068481578
A000369,402719755
S001193,942156122
M001190,1060370282
W000813,1065995022
R000597,1058345042
M001188,1051127714
M001185,1072467470
T000472,1037321378
J000294,467823431
J000295,976969338
L000579,1055730738
W000814,1058051748
K000381,1058917562
D000618,11651202
K000382,1058717720
K000380,1045110018
C001090,776664410
C001095,968650362
B001286,1092979962
B001287,950783972
F000454,1080509366
F000462,1077121945
H001067,935033864
V000131,1074129612
V000132,1083448909
P000605,18773159
R000599,1089859058
C001096,1048784496
W000812,1051446626
W000817,970207298
D000619,993153006
S001192,1072008757
B001282,1089334250
C001098,1074480192
D000096,789244177
G000546,29766367
B001230,1074518754
W000816,1077446982
D000622,1058520120
F000463,1071402577
H001068,1071102246
H001052,960962340
P000604,1155335864
P000608,1135486501
C001091,231510077
W000815,518644221
S001191,1080844782
C001075,1017500185356853248
G000558,1908143071
L000578,1069124515
C001066,1880674038
K000367,22044727
C001097,1222257180
P000607,1206227149
V000130,1260172386
K000384,1260172386
S001194,1262099252
S001168,364415553
B001285,1243902714
M001184,975200486
K000385,1339931490
G000555,899978622416695297
R000584,1096059529
B001281,1531521632
S001203,941000686275387392
S001195,1623308912
S000522,1623308912
M001169,2853793517
B001288,2167097881
C001101,2293131060
N000189,2930635215
L000583,2914163523
C001103,2973870195
B001295,2964877294
A000370,2916086925
M001194,2696643955
S001196,2962813893
R000603,834069080
P000609,2861616083
E000294,2914515430
Z000017,2750127259
K000386,2966765501
W000821,2852998461
H001072,2953974395
B001291,2929491549
M001195,2964526557
B001297,2862577383
R000602,2970462034
D000624,2970279814
T000474,236279233
S001197,2962923040
S001198,2891210047
A000372,2964287128
R000605,2955485182
B001296,4304448314
H001071,2975091705
A000371,3018670151
G000574,2966570782
P000610,2724095695
W000822,2968451607
L000582,3044993235
G000577,2951574214
D000623,2968007206
M001196,3091316093
B001292,2962868158
G000576,2976606250
N000188,3122099613
L000581,2863006655
K000388,3317799825
L000585,3686482216
B001299,816131319033950208
D000627,798973032362606600
B001303,817050219007328258
R000606,806906355214852096
P000613,796736612554117120
C001111,816030424778543104
D000628,815952318487298048
B001300,816833925456789505
B001302,816652616625168388
M001199,814103950404239360
M001200,816181091673448448
D000626,742735530287304704
F000465,806583915012046854
G000581,818536152588238849
G000583,815310506596691968
C001113,811313565760163844
K000389,816298918468259841
G000582,819744763020775425
M001202,796183515998068736
H001074,811986281177772032
A000375,816284664658874368
C001109,816719802328715264
C001112,816157667882373120
S001201,816705409486618624
S001190,1071840474
B001305,817138492614524928
J000298,815733290955112448
F000466,816303263586914304
O000171,808416682972770304
K000393,816683274076614656
L000586,818472418620608512
K000391,814179031956488192
H001076,946549322
E000297,817076257770835968
K000392,816012124505931780
G000578,818948638890217473
S001200,818713465653051392
B001301,815241612154417152
G000579,815966620300480514
C001108,1274852794206388225
M001198,1336344005588738052
E000296,90639372
R000609,828977216595849216
J000299,827279765287559171
R000608,818554054309715969
C001110,815985039485837312
B001298,818975124460335106
S001199,41417564
H001077,843636970538618880
B001304,823552974253342721
E000298,854715071116849157
G000585,2371339658
N000190,880480631108644864
L000589,996094929733652481
C001114,931614483050414080
H001079,983348251972816896
L000588,984456621417000960
C001115,1039879658400112640
A000377,1080515866255593472
S001212,1075830599007510535
L000591,1080292515939565568
B001306,1037341536592310272
A000376,1078355119920562176
C001118,1072158357237174272
D000630,1080485692298444800
H001066,389840566
H001082,1067818539179024386
L000593,1072134139560620033
M001206,1064595993222615040
N000191,1078749802765139968
S001209,1078771401497161728
S001213,1075205691621720064
W000826,1069636653353000962
R000615,1078693601356509184
A000378,1080865917377097728
B001309,1028854804087492613
C001119,1080222360643485698
C001120,1080894931311431682
C001121,1080191866509901826
